Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency,PsoCompileCount,MsPsoCompileTime,PsoCompileBusyPercent
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4925.36540000000059,NA,33.69030000000000,33.72590000000000,0.20930000000000,0.57540000000000,0.70440000000000,NA,33.68720000000000,33.47790000000000,0.20930000000000,33.53760000000000,0.51570000000000,0.51570000000000,0.00000000000000,0.00000000000000,-0.42780000000000,4925.36540000000059,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4959.05259999999998,NA,36.73100000000000,36.76480000000000,0.24180000000000,0.60000000000000,0.73820000000000,NA,36.76350000000000,36.52170000000000,0.24180000000000,36.58440000000000,0.53730000000000,0.53730000000000,0.00000000000000,0.00000000000000,-3.07760000000000,4959.05259999999998,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4995.81610000000001,NA,65.90910000000001,65.73100000000001,0.21710000000000,0.45240000000000,0.56010000000000,NA,65.88440000000000,65.66730000000000,0.21710000000000,65.65200000000000,0.46770000000000,0.46770000000000,0.00000000000000,0.00000000000000,-28.96750000000001,4995.81610000000001,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5061.70049999999992,NA,34.21470000000000,34.25700000000001,0.22620000000000,0.48650000000000,0.60240000000000,NA,34.22380000000000,33.99760000000000,0.22620000000000,33.99460000000000,0.48950000000000,0.48950000000000,0.00000000000000,0.00000000000000,31.62739999999999,5061.70049999999992,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5095.92430000000058,NA,55.82100000000001,55.74260000000000,0.23020000000000,0.41250000000000,0.52400000000000,NA,55.82500000000000,55.59480000000000,0.23020000000000,55.56190000000000,0.44540000000000,0.44540000000000,0.00000000000000,0.00000000000000,-21.51880000000000,5095.92430000000058,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5151.74930000000040,NA,34.32470000000000,34.53560000000000,0.20440000000000,0.59820000000000,0.73490000000000,NA,34.29890000000000,34.09450000000000,0.20440000000000,34.16030000000000,0.53240000000000,0.53240000000000,0.00000000000000,0.00000000000000,21.28940000000000,5151.74930000000040,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5186.04820000000018,NA,32.34630000000000,32.36650000000000,0.20450000000000,0.61720000000000,0.75510000000000,NA,32.34640000000000,32.14190000000000,0.20450000000000,32.20660000000000,0.55250000000000,0.55250000000000,0.00000000000000,0.00000000000000,1.93240000000000,5186.04820000000018,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5218.39460000000054,NA,33.30840000000000,33.18530000000001,0.18800000000000,0.49200000000000,0.63200000000000,NA,33.29190000000001,33.10390000000000,0.18800000000000,32.22210000000000,1.37380000000000,0.88780000000000,0.48600000000000,0.00000000000000,-0.83890000000000,5218.39460000000054,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5251.68650000000071,NA,106.44320000000000,106.39020000000001,0.19020000000000,0.45120000000000,0.57900000000000,NA,106.44540000000001,106.25520000000000,0.19020000000000,1.06580000000000,105.64060000000001,4.30100000000000,101.33960000000000,0.00000000000000,-73.09830000000001,5251.68650000000071,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5358.13190000000031,NA,285.63090000000000,285.65320000000003,0.23370000000000,0.47690000000000,0.60130000000000,NA,285.67439999999999,285.44069999999999,0.23370000000000,7.59760000000000,278.31999999999999,5.05320000000000,273.26679999999999,0.00000000000000,-179.20780000000002,5358.13190000000031,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,5643.80630000000019,NA,110.25030000000001,110.28450000000001,0.19390000000000,0.50040000000000,0.63550000000000,NA,110.21050000000001,110.01660000000001,0.19390000000000,7.19550000000000,103.32150000000000,3.66260000000000,99.65890000000000,0.00000000000000,175.38989999999998,5643.80630000000019,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
